Run Name,Epochs,Batch Size,Prediction Accuracy,Recall Comparison,mAP50 Comparison,mAP50-95 Comparison
yolo11n_e30_b4,30,4,0.9328092789126388,0.9137254901960784,0.9487736090334152,0.43371171376401624
yolo11n_e30_b8,30,8,0.9291307548595145,0.9196078431372549,0.9579468990965304,0.4434679493013755
yolo11n_e30_b16,30,16,0.947826661471222,0.9261554320453697,0.9656312626887565,0.4434561298968883
yolo11n_e30_b32,30,32,0.9327932931747539,0.9274509803921569,0.9609736645145867,0.4351756067259882
yolo11n_e50_b4,50,4,0.9508718567560356,0.9058823529411765,0.9560648836560633,0.4345205024056054
yolo11n_e50_b8,50,8,0.9375264435737556,0.9196078431372549,0.9486368776973779,0.4290448676867168
yolo11n_e50_b16,50,16,0.936423239095044,0.9241745214131614,0.9493447545051382,0.425984036180065
yolo11n_e50_b32,50,32,0.9399650872963937,0.9215686274509803,0.9657790295643572,0.4347486424194475
yolo11n_e70_b4,70,4,0.9253135890443916,0.8941176470588236,0.9320713395698706,0.42289299707772254
yolo11n_e70_b8,70,8,0.927955387776128,0.88394198614628,0.9341415443904824,0.41880214002771454
yolo11n_e70_b16,70,16,0.922420009517933,0.9092301117815585,0.9454707196348444,0.4198483237426017
yolo11n_e70_b32,70,32,0.9294493478469263,0.8782811824410093,0.9334043278305388,0.417809963691115
yolo11n_e100_b4,100,4,0.9009803200452715,0.9099004324809861,0.940920563948048,0.41165444248110744
yolo11n_e100_b8,100,8,0.9156179339909719,0.9058823529411765,0.9400226368815782,0.4172385580857366
yolo11n_e100_b16,100,16,0.9173746620795946,0.8980392156862745,0.9353304136354186,0.4283665505168527
yolo11n_e100_b32,100,32,0.8941153921177029,0.860982032603986,0.9283766451025501,0.4087114681887627
yolo11n_e150_b4,150,4,0.9385011215433535,0.8941176470588236,0.944806576785442,0.4198928512670861
yolo11n_e150_b8,150,8,0.937696182120508,0.9,0.9495786038802028,0.42425877354149993
yolo11n_e150_b16,150,16,0.9265821057502412,0.8901960784313725,0.9380929838908836,0.4204789848910295
yolo11n_e150_b32,150,32,0.9272632402050467,0.8784313725490196,0.9435856894816689,0.4190691289544162
